pressure,K
6.451612903225808, 0.011890746409230157
8.159392789373811, 0.015258836372701978
9.829222011385198, 0.019518376608086863
11.368934670642453, 0.028268298136301828
13.125508267823257, 0.03527195667529992
14.771241830065357, 0.04958732884881445
16.457938013915246, 0.07135925243655272
18.193548387096776, 0.09466114489120314
19.8014888337469, 0.10754442582307244
20.702087286527508, 0.12637986675715696
21.97343453510436, 0.1466599260377568
23.52519502424626, 0.1738365105087636
24.832384566729914, 0.19959421018230672
26.443179422306557, 0.2179245326574235
28.121442125237188, 0.24154628180445714
29.79970482816782, 0.26566419048586365
31.385199240986715, 0.28422969847227786
33.37381404174573, 0.30427956065873496
34.97786211258697, 0.3210358407549503
36.67931688804554, 0.3400047092064986
38.23529411764705, 0.3586517818806354

