,eff_stress,VP,VS,DEN,VSH_GR,PHIT_ND
113,18.49,3031.7,1551.29,2.18,0.19,0.35
114,18.5,3042.23,1566.36,2.18,0.22,0.33
115,18.52,3090.6,1608.0,2.19,0.27,0.31
116,18.53,2974.94,1506.94,2.18,0.33,0.33
117,18.54,3084.74,1608.83,2.18,0.26,0.3
118,18.56,3446.25,1902.38,2.24,0.19,0.26
119,18.57,2973.28,1517.24,2.16,0.3,0.32
120,18.59,3007.18,1531.23,2.2,0.31,0.32
121,18.6,2962.11,1507.47,2.16,0.24,0.32
122,18.62,3036.09,1565.87,2.15,0.23,0.34
123,18.63,3008.81,1529.18,2.15,0.29,0.37
124,18.64,3280.36,1734.28,2.28,0.36,0.3
125,18.66,3840.09,2173.6,2.43,0.3,0.22
126,18.68,3619.96,2012.62,2.31,0.24,0.28
127,18.69,2935.34,1485.96,2.12,0.3,0.34
128,18.71,2921.87,1477.11,2.14,0.29,0.33
129,18.72,2899.05,1442.51,2.17,0.38,0.34
130,18.74,3279.12,1694.63,2.4,0.51,0.3
131,18.75,4643.61,2770.64,2.67,0.28,0.14
132,18.77,3969.53,2284.07,2.31,0.3,0.28
133,18.79,2946.42,1497.74,2.11,0.27,0.35
134,18.8,2878.93,1444.37,2.14,0.24,0.34
135,18.81,2984.58,1521.99,2.15,0.26,0.34
136,18.83,3004.65,1526.67,2.21,0.34,0.32
137,18.84,3017.26,1526.13,2.25,0.45,0.31
138,18.86,2832.42,1397.55,2.1,0.32,0.37
139,18.87,2735.59,1308.47,2.16,0.4,0.36
140,18.88,2881.18,1431.86,2.17,0.41,0.32
141,18.9,2830.66,1404.1,2.1,0.29,0.35
142,18.91,2913.36,1468.59,2.09,0.3,0.36
143,16.14,3296.49,1724.28,2.53,0.56,0.07
144,16.16,2896.72,1436.14,2.22,0.33,0.27
145,16.17,2901.9,1436.66,2.19,0.36,0.29
146,16.19,3024.06,1549.23,2.2,0.22,0.27
147,16.2,2955.33,1486.7,2.19,0.29,0.28
148,16.22,2924.07,1466.39,2.15,0.25,0.31
149,16.23,3050.11,1578.65,2.2,0.15,0.27
150,16.24,3045.8,1592.18,2.1,0.01,0.34
151,16.26,3042.53,1586.31,2.12,0.04,0.33
152,16.27,3048.3,1588.45,2.14,0.06,0.31
153,16.29,3074.72,1614.12,2.14,0.02,0.31
154,16.3,3087.43,1625.05,2.12,0.02,0.33
155,16.31,3063.37,1606.6,2.12,0.01,0.33
156,18.37,3106.24,1618.6,2.32,0.22,0.24
157,16.32,3138.42,1664.98,2.14,0.02,0.32
158,18.39,3071.03,1586.04,2.3,0.0,0.3
159,16.34,2973.2,1530.0,2.11,0.04,0.33
160,18.41,2799.54,1377.8,2.15,0.09,0.35
161,16.35,3017.51,1570.41,2.11,0.0,0.34
162,18.42,2825.49,1381.32,2.22,0.18,0.35
163,16.37,2942.53,1501.94,2.14,0.07,0.31
164,18.44,2736.7,1337.31,2.12,0.07,0.35
165,16.38,3086.82,1619.15,2.14,0.06,0.31
166,18.45,2733.63,1338.04,2.14,0.02,0.33
167,16.4,3045.76,1593.39,2.13,0.0,0.32
168,18.47,2764.63,1360.76,2.14,0.04,0.34
169,16.41,3099.89,1635.36,2.16,0.01,0.3
170,18.48,2767.76,1355.38,2.21,0.06,0.32
171,16.43,3033.35,1583.42,2.11,0.0,0.33
172,18.5,2805.98,1376.17,2.26,0.13,0.3
173,16.44,3044.59,1587.86,2.14,0.04,0.32
174,18.51,2802.76,1376.05,2.21,0.11,0.33
175,16.46,3077.25,1618.26,2.11,0.0,0.33
176,18.53,2709.33,1303.95,2.19,0.12,0.33
177,16.47,3060.2,1594.39,2.1,0.09,0.34
178,18.54,2758.37,1359.14,2.13,0.0,0.34
179,16.48,3038.2,1573.68,2.11,0.11,0.33
180,18.56,2752.14,1353.71,2.14,0.0,0.34
181,16.5,3065.2,1596.7,2.11,0.1,0.33
182,18.57,3187.45,1697.33,2.45,0.0,0.16
183,16.51,2973.6,1514.4,2.13,0.18,0.32
184,18.59,2697.35,1273.58,2.31,0.1,0.32
185,16.53,3070.97,1605.7,2.14,0.07,0.32
186,18.61,2666.38,1271.05,2.19,0.09,0.33
187,16.54,3225.53,1737.71,2.2,0.0,0.28
188,18.62,2796.33,1384.13,2.13,0.16,0.33
189,16.56,3191.99,1706.88,2.15,0.03,0.31
190,18.64,3027.19,1568.68,2.14,0.16,0.31
191,16.57,3032.9,1574.82,2.12,0.07,0.32
192,18.66,2764.63,1323.83,2.21,0.44,0.34
193,16.59,2976.58,1529.99,2.15,0.07,0.31
194,18.67,2764.63,1319.67,2.23,0.47,0.33
195,16.6,3022.99,1568.4,2.15,0.06,0.31
196,18.69,2875.47,1449.31,2.19,0.12,0.3
197,16.62,2892.44,1444.06,2.17,0.23,0.3
198,18.7,2722.95,1316.35,2.15,0.28,0.33
199,16.63,2868.15,1423.22,2.13,0.24,0.32
200,18.72,2718.39,1307.22,2.11,0.38,0.36
201,16.65,2870.38,1424.65,2.12,0.24,0.32
202,18.73,2729.04,1313.79,2.07,0.35,0.38
203,16.66,2905.38,1457.9,2.14,0.2,0.32
204,18.75,2698.84,1279.6,2.13,0.47,0.36
205,16.68,2916.94,1463.61,2.14,0.23,0.32
206,18.76,2616.31,1213.98,2.11,0.5,0.37
207,16.69,2864.89,1425.63,2.12,0.2,0.33
208,18.78,2623.35,1218.24,2.07,0.51,0.4
209,16.71,2847.64,1392.99,2.16,0.37,0.3
210,18.79,2695.85,1277.26,2.08,0.5,0.39
211,16.72,2868.2,1413.17,2.16,0.33,0.3
212,18.8,2644.69,1231.66,2.13,0.53,0.36
213,16.74,2873.64,1414.55,2.15,0.36,0.31
214,16.75,2872.75,1419.71,2.15,0.3,0.31
215,16.75,2904.79,1441.2,2.16,0.34,0.3
216,16.76,2915.77,1433.08,2.16,0.49,0.3
217,16.77,2865.41,1390.99,2.15,0.51,0.31
218,16.78,2897.48,1432.12,2.17,0.37,0.3
219,16.79,3060.67,1568.19,2.24,0.31,0.25
220,16.79,3152.82,1644.38,2.28,0.28,0.23
221,16.8,3191.83,1676.14,2.29,0.28,0.22
222,16.81,3152.66,1631.04,2.27,0.39,0.23
223,18.88,2835.35,1414.49,2.09,0.17,0.36
224,16.83,2927.4,1407.35,2.14,0.8,0.31
225,18.9,2865.33,1435.71,2.1,0.22,0.34
226,16.84,2965.24,1485.82,2.16,0.37,0.3
227,18.91,2827.13,1406.47,2.09,0.2,0.35
228,16.86,2947.8,1472.45,2.17,0.36,0.3
229,18.93,2799.54,1379.43,2.11,0.25,0.35
230,16.87,2938.13,1460.86,2.16,0.4,0.3
231,18.94,2791.53,1371.78,2.14,0.31,0.33
232,16.89,2852.56,1404.37,2.2,0.3,0.28
233,18.96,2735.17,1324.83,2.1,0.33,0.36
234,16.9,3000.35,1530.22,2.23,0.23,0.26
235,18.97,2889.1,1458.21,2.1,0.14,0.36
236,16.92,2881.64,1433.54,2.15,0.24,0.31
237,18.98,2858.62,1428.87,2.12,0.2,0.35
238,16.94,3021.71,1530.35,2.3,0.37,0.21
239,19.0,2932.53,1491.66,2.11,0.18,0.34
240,16.95,2945.96,1474.01,2.26,0.34,0.24
241,19.01,3057.55,1592.0,2.18,0.11,0.32
242,16.97,2916.27,1447.94,2.24,0.36,0.25
243,19.03,2946.71,1508.7,2.13,0.09,0.33
244,16.99,2959.59,1481.11,2.28,0.37,0.23
245,19.04,2856.94,1430.56,2.1,0.16,0.36
246,17.0,3078.39,1585.24,2.2,0.28,0.28
247,19.06,2877.17,1447.54,2.1,0.18,0.34
248,17.02,3082.67,1611.2,2.15,0.1,0.31
249,19.07,2892.53,1462.4,2.09,0.13,0.35
250,17.03,3052.38,1593.08,2.16,0.05,0.3
251,19.09,2939.6,1499.27,2.12,0.15,0.33
252,17.05,2954.58,1504.0,2.13,0.14,0.32
253,19.1,2883.97,1447.38,2.11,0.25,0.35
254,17.06,2835.12,1361.12,2.43,0.57,0.14
255,19.12,2810.84,1392.65,2.09,0.21,0.35
256,17.08,2999.74,1538.16,2.22,0.15,0.26
257,19.13,2766.19,1355.08,2.09,0.24,0.36
258,17.1,3168.04,1691.64,2.11,0.0,0.34
259,19.15,2822.22,1399.41,2.09,0.25,0.35
260,17.11,3172.47,1689.36,2.15,0.05,0.31
261,19.16,2810.84,1390.05,2.09,0.26,0.35
262,17.13,3239.74,1739.74,2.18,0.08,0.29
263,19.17,2837.0,1411.27,2.08,0.25,0.36
264,17.14,3177.7,1697.89,2.13,0.01,0.32
265,19.19,2870.39,1438.63,2.08,0.24,0.35
