,Unnamed: 0,DEPTH,DEN,GR,PHIE_D,PHIT_D,VP,VS,VSH_GR
84,3964,1795.5,2.13708,25.20925,0.30245140000000004,0.3205751,2.99043,1.5483,0.1159914
85,3965,1795.625,2.13373,24.794710000000002,0.3051149,0.32266880000000003,2.98867,1.54564,0.112345
86,3966,1795.75,2.13443,26.38216,0.30246999999999996,0.3222313,2.98411,1.54382,0.12647239999999998
87,3967,1795.875,2.13521,26.85424,0.3013125,0.3217438,2.97055,1.5533,0.13076010000000002
88,3968,1796.0,2.1301200000000002,27.31683,0.30383119999999997,0.324925,2.9870799999999997,1.55575,0.1350006
89,3969,1796.125,2.12597,28.25403,0.3050639,0.32751890000000006,2.99534,1.55795,0.1437119
90,3970,1796.25,2.1255900000000003,26.22516,0.3082163,0.3277562,2.995,1.55772,0.12505539999999998
91,3971,1796.375,2.12521,24.196279999999998,0.3112541,0.3279938,2.9946599999999997,1.55748,0.1071335
92,3972,1796.5,2.12322,25.96481,0.3100633,0.32923759999999996,2.99812,1.55634,0.12271510000000001
93,3973,1796.625,2.1257099999999998,27.57757,0.30621129999999996,0.3276813,2.9961900000000004,1.55288,0.137408
94,3974,1796.75,2.1353400000000002,24.710539999999998,0.3042237,0.3216625,2.998,1.55655,0.11160830000000001
95,3975,1796.875,2.13288,24.03136,0.30668320000000004,0.3232,3.0034099999999997,1.55746,0.10570810000000001
96,3976,1797.0,2.13041,23.35218,0.3091365,0.3247438,3.00884,1.55836,0.09988683
97,3977,1797.125,2.12469,26.796940000000003,0.3079691,0.32831869999999996,3.01233,1.5585200000000001,0.1302375
98,3978,1797.25,2.11908,24.25263,0.3150091,0.331825,3.00822,1.55221,0.10762160000000001
99,3979,1797.375,2.11488,24.75617,0.3169488,0.33445,3.0059400000000003,1.54982,0.11200750000000001
100,3980,1797.5,2.11525,24.96516,0.31643109999999997,0.3342187,2.99985,1.54566,0.11384069999999999
101,3981,1797.625,2.11409,25.10262,0.3169671,0.3349438,2.9977400000000003,1.54233,0.1150506
102,3982,1797.75,2.11294,25.24008,0.31749629999999995,0.3356625,2.9956400000000003,1.53902,0.11626379999999999
103,3983,1797.875,2.11237,26.32674,0.3163357,0.3360188,2.99835,1.5234299999999998,0.1259717
104,3984,1798.0,2.1086099999999997,25.461270000000003,0.31989650000000003,0.3383688,2.99968,1.5284799999999998,0.11822300000000001
105,3985,1798.125,2.11501,26.968770000000003,0.313774,0.3343688,2.99891,1.53502,0.1318063
106,3986,1798.25,2.11584,27.02773,0.313171,0.3338501,2.9990900000000003,1.53782,0.1323459
107,3987,1798.375,2.11667,27.08669,0.3125679,0.3333313,2.9992799999999997,1.54062,0.1328861
108,3988,1798.5,2.12204,26.664040000000004,0.30981440000000005,0.329975,2.99969,1.55149,0.1290278
109,3989,1798.625,2.12784,26.385140000000003,0.3065845,0.32635,3.00413,1.5498299999999998,0.12649939999999998
110,3990,1798.75,2.12653,26.48034,0.3072687,0.32716880000000004,3.00033,1.5562200000000002,0.1273608
111,3991,1798.875,2.1329700000000003,26.55265,0.3031412,0.3231437,3.00834,1.5540399999999999,0.1280163
112,3992,1799.0,2.13482,26.90744,0.3014804,0.3219875,3.0131799999999997,1.55261,0.1312458
113,3993,1799.125,2.13666,27.26223,0.29982220000000004,0.3208375,3.01804,1.55118,0.1344981
114,3994,1799.25,2.1374299999999997,26.02468,0.3010982,0.3203563,3.02648,1.54738,0.12325219999999999
115,3995,1799.375,2.12888,26.6717,0.3055286,0.3257,3.02694,1.55208,0.1290974
116,3996,1799.5,2.12132,26.307940000000002,0.3107685,0.330425,3.02618,1.55411,0.125802
117,3997,1799.625,2.12035,26.34256,0.3113259,0.33103140000000003,3.02867,1.55351,0.1261146
118,3998,1799.75,2.11938,26.37718,0.3118832,0.3316375,3.03116,1.55291,0.1264274
119,3999,1799.875,2.1242400000000004,26.52958,0.3086302,0.32860009999999995,3.03362,1.5548799999999998,0.1278071
120,4000,1800.0,2.12317,26.059910000000002,0.3099613,0.32926880000000003,3.03114,1.55284,0.1235685
121,4001,1800.125,2.12853,27.25211,0.30491799999999997,0.3259188,3.02733,1.54982,0.134405
122,4002,1800.25,2.12985,25.665329999999997,0.30633790000000005,0.3250938,3.02379,1.54972,0.120038
123,4003,1800.375,2.1320799999999998,25.86736,0.3046621,0.3237,3.02457,1.55237,0.1218422
124,4004,1800.5,2.13432,26.06939,0.30297909999999995,0.3223,3.02535,1.55502,0.1236537
125,4005,1800.625,2.13674,25.07659,0.3028467,0.3207875,3.03478,1.56125,0.1148213
126,4006,1800.75,2.14042,25.50239,0.2999582,0.3184876,3.02881,1.56734,0.1185881
127,4007,1800.875,2.1389299999999998,24.985229999999998,0.30160359999999997,0.3194187,3.0345400000000002,1.5688,0.1140172
128,4008,1801.0,2.13778,24.97441,0.30233730000000003,0.32013759999999997,3.03823,1.56595,0.11392200000000001
